"State","Date","Text","Sen_length"
"New York","1938-08-25","Nothing in this section shall prevent the legislature from passing laws more restrictive than any of the provisions of this section.",21
"Mississippi","1890-11-01","There shall be appointed one member of such board from each congressional district of the state as now existing, and one member from each supreme court district, and two members shall be appointed from the state at large.",38
"Washington","1889-10-01","The legislature, at its first session, shall provide for the election of all officers whose election is not provided for elsewhere in this constitution, and fix the time for commencement and duration of their term.",35
"Oklahoma","1907-07-16","The Alcoholic Beverage Control Board shall continue to exist and operate after passage of this Article, until such time as the Commission is fully constituted, at which time the Alcoholic Beverage Control Board shall be abolished.",36
"Texas","1869-12-03","During the sessions of the legislature, the governor shall reside where its sessions are held; and at all other times at the capital, except when, in the opinion of the legislature, the public good may otherwise require.",37
"Nevada","1864-03-21","The members of the Assembly shall be chosen biennially by the qualified electors of their respective districts, on the Tuesday next after the first Monday in November and their term of office shall be two years from the day next after their election.",43
"New York","1938-08-25","The governor shall hold hearings thereon at which he may require the attendance of heads of departments and their subordinates.",20
"Rhode Island","1986-12-04","The style of their laws shall be, It is enacted by the general assembly as follows:   Section 3.0 0 [Last Modified: 1/1/2003]  Section 3.",26
"Mississippi","1868-03-13","All vacancies which may occur in said Court, from death, resignation, or removal, shall be filled by appointment, as aforesaid; provided, however, that if a vacancy shall occur during the recess of the Legislature, the Governor shall appoint a successor, who shall hold his office until the next meeting of the Legislature.",52
"Louisiana","1921-04-29","There shall be a sheriff elected by the qualified electors of each parish in the State except in the parish of Orleans, who shall be elected at the general State election and hold office for four years.",37
"Oklahoma","1907-07-16","The number of mills shall be set forth in the election proclamation, and may be increased in a later election, not to exceed a total levy of three (3) mills.",30
"Louisiana","1864-07-23","He shall receive a salary of five thousand dollars per annum, payable, on his own warrant, quarterly.",17
"Texas","1869-12-03","The third congressional district shall consist of the counties of Galveston, Brazoria, Fort Bend, Harris, Austin, Montgomery, Walker, Grimes, Brazos, Washington, Burleson, Milam, Robertson, Madison, Leon, Freestone, Limestone, Falls, McLennan, Matagorda, Wharton , Bosque, Hill, and Navarro.",36
"North Carolina","1971-07-01","All corporations shall have the right to sue and shall be subject to be sued in all courts, in like cases as natural persons.",24
"North Dakota","1981-01-01","An additional twenty percent of the taxes collected and deposited in the permanent trust fund during a biennium may be appropriated by the legislative assembly for clean coal demonstration projects approved by the industrial commission.",35
"California","1879-05-07","A judge may likewise be assigned with his consent to a court of lower jurisdiction, and a retire judge may similarly be assigned with his consent to any court.",29
"Texas","1876-02-15","The County Court shall not have criminal jurisdiction in any county where there is a criminal district court, unless expressly conferred by law, and in such counties appeals from justices courts and other inferior courts and tribunals in criminal cases shall be to the Criminal district Court, under such regulations as may be prescribed by law, and in all such cases an appeal shall lie from such district Court to the Court of Criminal appeals.",75
"Michigan","1964-01-01","Any incumbent justice whose term is to expire may become a candidate for re-election by filing an affidavit of candidacy, in the form and manner prescribed by law, not less than 180 days prior to the expiration of his term.",40
"Louisiana","1913-11-22","In case of failure on the part of the City of New Orleans to make said appropriations at the times herein fixed, and to administer and operate said Public Belt Railroad of the City of New Orleans, and to collect the revenues therefrom to provide for the payment of interest due, or to become due, and the redemption of bonds, as provided for herein, the Board of Commissioners of the Port of New Orleans is hereby authorized, empowered and directed, and it is made its duty, to administer and operate said Public Belt Railroad, to impose such charges as it may fix, and collect said revenues and levy and collect the special tax hereinafter provided for, and to apply the same to the purposes hereof; and to that extent and for that purpose only, and for such time as may be necessary to that end, said Board of Commissioners of the Port of New Orleans is hereby authorized to exercise all the power  Article 9039.0 [Last Modified: 6/16/2004 1:06:28 AM]   PUBLIC DEBT.",176
"Maryland","1776-11-10","That the Treasurers (one for the western, and another for the eastern shore) and the Commissioners of the Loan Office, may be appointed by the House of Delegates, during their pleasure; and in case of refusal, death, resignation, disqualification, or removal out of the State, of any of the said Commissioners or Treasurers, in the recess of the General Assembly, the governor, with the advice of the Council, may appoint and commission a fit and proper person to such vacant office, to hold the same until the meeting of the next General Assembly.",93
"Pennsylvania","1969-01-01","The person so appointed shall serve for a term ending on the first Monday of January following the next municipal election more than ten months after the vacancy occurs or for the remainder of the unexpired term whichever is less, except in the case of persons selected as additional judges to the Superior Court, where the General Assembly may stagger and fix the length of the initial terms of such additional judges by reference to any of the first, second and third municipal elections more than ten months after the additional judges are selected.",94
"New York","1938-08-25","In case any appellate division shall certify to the governor that one or more additional justices are needed for the speedy disposition of the business before it, the governor shall designate an additional justice or additional justices; but when the need for such additional justice or justices shall no longer exist, the appellate division shall so certify to the governor, and thereupon service under such designation or designations shall cease.",70
"Indiana","1851-11-01","The Governor may remit fines and forfeitures, under such regulationsas may be provided by law; and shall report to the General Assembly, at its next meeting,each case of reprieve, commutation, or pardon granted, and also the names of all personsin whose favor remission of fines and forfeitures were made, and the several amounts remitted;provided, however, the General Assembly may, by law, constitute a council composed ofofficers of State, without whose advice and consent the Governor may not grant pardons, in anycase, except those left to his sole power by law.",92
"Florida","1968-11-05","Each house shall determine its rules of procedure. (b)Sessions of each house shall be public; except sessions of the senate when considering appointmentto or removal from public office may be closed. (c)Each house shall keep and publish a journal of its proceedings; and upon the request of five memberspresent, the vote of each member voting on any question shall be entered on the journal.",66
"North Carolina","1868-07-01","The members of the general Assembly for the term for which they have been elected shall receive as a compensation for their services the sum of fifteen dollars ($15.0) per day for each day of their session, for a period not exceeding ninety days; and should they remain longer in session they shall serve without compensation.",56
"Florida","1887-01-01","The Legislature shall consist of not more than thirty-two members of the Senate,and of not more than sixty-eight members of the House of Representatives.",25
"Texas","1876-02-15","(1) The legislature may enact general laws establishing systems and programs of retirement and related disability and death benefits for public employees and officers.",24
"Arkansas","1874-10-13","Should a vacancy occur in said board by refusal to serve, death, removal, resignation or otherwise, or if any member should become incapac­itated from performing said duties, the remaining members of the board shall fill the vacancy by appointment.",39
"Mississippi","1817-12-04","All commissions shall be in the name and by the authority of the state of Mississippi, be sealed with the state seal, and signed by the governor, and attested by the secretary of state.",34
"Maine","1819-12-06","Judges of municipal and police courts shall be appointed by the executive power, in the same manner as other judicial officers, and shall hold their offices for the term of four years: Provided, however, That the present incumbents shall hold their offices for the term for which they were elected.",50
"Maryland","1776-11-10","And be it enacted, That if this act shall be confirmed by the general assembly of Maryland after the next election of delegates, in the first session after such new election, as the constitution and form of government directs, in such case this act, and the alterations herein contained, shall constitute and be considered a part of said constitution and form of government, to all intents and purposes, any thing herein contained to the contrary notwithstanding.",76
"Minnesota","1857-08-30","The State shall be divided by the legislature into six judicial districts, which shall be composed of contiguous territory, be bounded by county lines, and contain a population as nearly equal as may be practicable.",35
"Louisiana","1913-11-22","An election may be held under the provisions of this section at the same times and places and by the same election officers as an election on the question of incurring debt and issuing bonds under the provisions of Section l of this Article.",44
"Montana","1973-07-01","Section 9.2 0 [Last Modified: 3/25/2005 8:53:04 AM]   (2) (a) The government and control of the Montana university system is vested in a board of regents of higher education which shall have full power, responsibility, and authority to supervise, coordinate, manage and control the Montana university system and shall supervise and coordinate other public educational institutions assigned by law. (b) The board consists of seven members appointed by the governor, and confirmed by the senate, to overlapping terms, as provided by law.",86
"Alabama","1867-11-05","That no person who conscienciously scruples to bear arms shall be compelled to do so, but may pay an equivalent for personal service.",23
"Nevada","1864-03-21","The elections provided in this ordinance shall be holden at such places as shall be designated by the Boards of Commissioners of the several counties in said Territory.",28
"Connecticut","1818-10-12","Each house shall determine the rules of its own proceedings, punish members for disorderly conduct, and, with the consent of two-thirds, expel a member, but not a second time for the same cause; and shall have all other powers necessary for a branch of the legislature of a free and independent State.",52
"California","1879-05-07","In the exercise of these rights and powers, the Legislature shall not constitute the State or any agency thereof a manufacturer or seller of intoxicating liquor.",26
"Illinois","1870-08-08","Amendment 26 [1962]  RatifiedNovember 6, 1962; effective January 1, 1964 TheState shall be divided into judicial circuits each consisting of one or more counties.",24
"Florida","1868-07-04","The aforesaid works shall be compiled in accordance with the provisions of this Constitution; except in those cases where there are express provisions to the contrary.",26
"Alabama","1901-11-28","The legislaturemay hereafter, from time to time, by general, special or local laws further provide for thedistribution of the fees, commissions, allowances, percentages and other charges herein providedfor.",28
"Oklahoma","1907-07-16","State Department of Corrections for construction and equipping of a reception and diagnostic center and other capital improvements at McAlester, Oklahoma, $1,000,0000.0 and for constructing, renovating and equipping academic and vocational school facilities and other capital projects at Granite Reformatory, $750,000.0_ _ _ _ _ _ _ _ _ _  $ 1,750,000.0  17.",43
"Michigan","1909-01-01","An official declaration of the sufficiency or insufficiency of the petition shall be made by the secretary of state or such other person or persons as shall hereafter be authorized at least 2 months prior to such election.",38
"Nevada","1864-03-21","The times of holding the Supreme Court and District Courts shall be as fixed by law.",16
"Alabama","1901-11-28","Any law heretofore enacted which complies with the provisions of thissection shall be considered a general law.",17
"Alabama","1867-11-05","The boundaries of this State are established and declared to be as follows--that is to say: Beginning at the point where the thirty-first degree of north latitude crosses the Perdido river; thence east to the western boundary line of the State of Georgia; thence along said line to the southern boundary line of the State of Tennessee; thence west along the southern boundary line of the State of Tennessee, crossing the Tennessee river, and on to the second intersection of said river, by said line; thence up said river to the mouth of Big Bear creek; thence by a direct line to the northwest corner of Washington county, in this state, as originally formed; thence southerly, along the line of the State of Mississippi, to the Gulf of Mexico; thence eastwardly, including all islands within six leagues of the shore, to the Perdido river, and thence up the said river to the beginning.",154
"Texas","1876-02-15","An eligible disabled person who is sixty five (65) years of age or older may not receive both exemptions from the same political subdivision in the same year but may choose either if the subdivision has adopted both.",38
"North Dakota","1889-08-17","The labor of children under twelve years of age shall be prohibited in mines, factories and workshops in this state.",20
"Texas","1876-02-15","No senator or representative shall, during the term for which he may be elected, be eligible to any civil office of profit under this State which shall have been created or the emoluments of which may have been increased during such term; no member of either house shall, during the term for which he is elected, be eligible to any office or place, the appointment to which may be made, in whole or in part, by either branch of the legislature; and no member of either house shall vote for any other member for, any office whatever which may be filled by a vote of the legislature, except in such cases as are in this constitution provided.",117
"Florida","1868-07-04","The enacting clause of every law shall be as follows: ""The people of the State of Florida, represented in Senate and Assembly, do enact as follows.""",26
"West Virginia","1872-12-01","Article 14.0 [Last Modified: 6/18/2004 3:35:16 PM]  ARTICLE XIV  AMENDMENTS   Section 1.0 0 [Last Modified: 6/18/2004 3:35:16 PM]  No.",27
"Pennsylvania","1790-09-02","The rights, privileges, immunities, and estates of religious societies and corporate bodies shall remain as if the constitution of this State had not been altered or amended.",27
"Wyoming","1889-09-30","The judges of the supreme and district courts shall receive such compensation for their services as may be prescribed by law, which compensation shall not be increased or diminished during the term for which a judge shall have been elected, and the salary of a judge of the supreme or district court shall be as may be prescribed by law; provided, however, that when any legislative increase or decrease in the salary of the Justices or Judges of such courts whose respective terms of office do not expire at the same time, has heretofore or shall hereafter become effective as to any member of such court, it shall be effective from such date as to each of the members thereof.",120
"Arkansas","1874-10-13","This is Amendment No. 48 according to the numbering method for constitutional amendments used by the state of Arkansas.]",19
"Hawaii","1978-11-07","Revenue bonds, if the issuer thereof is obligated by law to impose rates, rentals and charges for the use and services of the public undertaking, improvement or system or the benefits of a loan program or a loan thereunder or to impose a user tax, or to impose a combination of rates, rentals and charges and user tax, as the case may be, sufficient to pay the cost of operation, maintenance and repair, if any, of the public undertaking, improvement or system or the cost of maintaining a loan program or a loan thereunder and the required payments of the principal of and interest on all revenue bonds issued for the public undertaking, improvement or system or loan program, and if the issuer is obligated to deposit such revenues or tax or a combination of both into a special fund and to apply the same to such payments in the amount necessary therefor.",153
"Wyoming","1889-09-30","The presiding officers of the senate and house shall issue a certificate to each of said senators certifying his election, which certificates shall also be signed by the governor and attested by the secretary of state.",36
"North Dakota","1889-08-17","The eighteenth district shall consist of the county of Cavalier and be entitled to one senator and two representatives.",19
"Texas","1876-02-15","N 0 [Last Modified: 7/1/2006 12:00:00 PM]  No Section Text  Amendment 726 [2003]  Sec. 49-n.",19
"Michigan","1964-01-01","(2) Counties having less than 13 apportionment factors shall be entitled as a class to senators in the proportion that the total apportionment factors of such counties bear to the total apportionment factors of the state computed to the nearest whole number.",42
"North Carolina","1868-07-01","The respective duties of the Secretary of State, Auditor, Treasurer, Superintendent of Public Instruction, Attorney General, Commission of Agriculture, Commissioner of Labor, and Commissioner of Insurance shall be prescribed by law.",31
"Minnesota","1974-11-05","Each house shall elect its presiding officer and other officers as may be provided by law.",16
"Texas","1876-02-15","In such connection, the statute shall provide against disposal or transfer of the assets of the district except for due compensation unless such assets are transferred to another governmental agency, such as a county, embracing such district and using such transferred assets in such a way as to benefit citizens formerly within the district.",54
"Wyoming","1889-09-30","The provisions of Section 11 of Article 6 of this Constitution, which provide that the ballots therein mentioned shall be delivered on election day to the voters within the polling place by sworn public officials, and that only such ballots so delivered shall be received and counted, shall not be applicable to, affect or invalidate absent voter ballots and voting thereof and registration therefor, as provided by Article 14, of Chapter 36, Wyoming Revised Statues, 1931, and other Acts of The Legislature of the State of Wyoming, amendatory thereof or related thereto, whether heretofore or hereafter enacted.",97
"Arkansas","1874-10-13","The terms of all members of the General Assembly shall begin on the day of their election, and they shall receive no compensation, perquisite or allowance whatever, except as herein provided.",31
"South Carolina","1896-01-01","Amendment 254 [1969]   [This amendment added text to Article 10 Sec. 5 of the Constitution.",15
"Alabama","1901-11-28","If both the Governor and Lieutenant-Governor be removed from office, die, or resign more than sixty days prior to the next general election at which any State officers are to be elected, a Governor and Lieutenant-Governor shall be elected at such election for the unexpired term, and in the event of a vacancy in the office, caused by the removal from office, death or resignation of the Governor and Lieutenant-Governor, pending such vacancy, and until their successors shall be elected and qualified, the office of Governor shall be held and administered by either the President pro tem of the Senate, Speaker of the House of Representatives, Attorney General, State Auditor, Secretary of State, or State Treasurer in the order herein named.",121
"Colorado","1876-03-14","(4) The veto power of the governor shall not extend to measures initiated by or referred to the people.",19
"Iowa","1857-09-03","The general assembly may provide by law for the condemnation of such real estate as shall be necessary for the construction and maintenance of such drains, ditches and levees, and prescribe the method of making such condemnation.",37
"Hawaii","1959-08-21","The first governor and lieutenant governor shall hold office for a term beginning with their election and ending at noon on the first Monday in December following the second general election.",31
"New Mexico","1911-01-01","Any company, corporation or common carrier which does not comply with the order of the commission within the time limited therefor, may file with the commission a petition to remove such cause to the supreme court, and in the event of such removal by the company, corporation or common carrier, or other party to such hearing, the supreme court may, upon application, in its discretion or of its own motion, require or authorize additional evidence to be taken in such cause; but in the event of removal by the commission, upon failure of the company, corporation or common carrier, no additional evidence shall be allowed.",105
"Maryland","1776-11-10","AND BE IT ENACTED, That all and every part of the constitution and form of government of this state repugnant to, or inconsistent with, the provisions of this act, shall be and the same are hereby abrogated, annulled and made void.",41
"Oklahoma","1907-07-16","Any measure referred to the people by the initiative or referendum shall take effect and be in force when it shall have been approved by a majority of the votes cast thereon and not otherwise.",35
"California","1879-05-07","And provided, still further, that notwithstanding the restrictions contained in this Constitution, the treasurer of any city, county, or city and county shall have power and it shall be his duty to make such temporary transfers from the funds in his custody as may be necessary to provide funds for meeting the obligations incurred for maintenance purposes by any city, county, city and county, district or other political subdivision whose funds are in his custody and are paid out solely through his office.",83
"Michigan","1909-01-01","[This amendment, which amends section 9 or article 5 for the second time, passed as J.R.",16
"Indiana","1816-06-29","The manner of administering an oath, or affirmation, shall be such as is most consistent with the conscience of the deponent, and shall be esteemed the most solemn appeal to God.",31
"Colorado","1876-03-14","Action to initiate home rule shall be by petition, signed by not less than five percent of the qualified electors of the proposed or existing city and county, city, or town, or by proper ordinance by the city council or board of trustees of a town, submitting the question of the adoption of a municipal home rule charter to the qualified electors of the city and county, city, or town.",70
"Pennsylvania","1874-01-01","No person hereafter convicted of embezzlement of public moneys, bribery, perjury or other infamous crime, shall be eligible to the General Assembly or capable of holding any office of trust or profit in this Commonwealth.",35
"Maine","1819-12-06","If the Governor is requested in the written petition to order a measure proposed the Legislature and not enacted without change to be submitted to the people at such a special election and if he fails to do so by proclamation within ten days after the recess of the Legislature to which the measure was proposed, the Secretary of State shall, by proclamation, order such measure to be submitted to the people at a special election as requested, and such order be sufficient to enable the people to vote.",89
"Nevada","1864-03-21","Such initiative measure shall take precedence over all measures of the legislature except appropriation bills, and shall be enacted or rejected by the legislature, without change or amendment, within forty (40) days.",32
"Florida","1968-11-05","Selected salaries, costs, andexpenses of the state courts system may be funded from appropriate filing fees for judicial proceedingsand service charges and costs for performing court-related functions, as provided by generallaw.",31
"Texas","1876-02-15","The lands of the Veteran’s Land Fund shall be sold by the State of Texas veterans of the present war or wars, commonly known as World War II, and to Texas veterans of service in the armed forces of the United States of America subsequent to 1945, as may be included within this program by legislative Act, in such quantities, and on such terms, and at such prices and rates of interest, and under such rules and regulations as are now provided by law, or as may hereafter be provided by law.",92
"Alabama","1901-11-28","Amendment 578 [1995]  AMENDMENT578 RATIFIED 1995 Electionof Franklin County Superintendent of Education by Qualified Electors. (a)The Franklin County Superintendent of Education shall be elected by the qualified electors residingin the jurisdiction of the Franklin County School System.",38
"Pennsylvania","1969-01-01","All proceedings of the board shall be confidential except when the subject of the investigation waives confidentiality.",17
"New York","1894-11-06","For the relief of Surrogates' Courts the Legislature may confer upon the Supreme Court in any county having a population exceeding four hundred thousand, the powers and jurisdiction of surrogates, with authority to try issues of      fact by jury in probate cases.",42
"Florida","1887-01-01","In case of the impeachment of the Governor, the President of the Senate, or in caseof the death, resignation or inability of the President of the Senate, the Speaker of the Houseof Representatives shall act as Governor pending the impeachment proceedings againstthe Governor.",43
"Arkansas","1874-10-13","Whenever 100 or more tax paying electors of any county having library tax in force shall file a petition in the County Court asking that such tax be raised, reduced or abolished, te question shall be submitted to the qualified electors at a general election.",45
"Arkansas","1874-10-13","If the applicant lacks one or more of the qualifications required by law of voters in this State, the permanent registrar shall not register the applicant, but shall document the reason for denying the applicant's registration and promptly file or enter the application and the documented reason for denying registration in the Registration Record Files.   (f) If the Permanent Registrar has any reason to doubt the qualifications of an applicant for registration, he shall submit such application to the County Board of Registration and such Board shall make a determination with respect to such qualifications and shall instruct the Permanent Registrar regarding the same.   (g) If any person eligible to register as a voter is unable to register in person at the Permanent Registrar's office by reason of sickness or physical disability, the Permanent Registrar shall register the applicant at his place of abode within such county, if practicable, in the same manner as if he had appeared at the Permanent Registrar's office.   (h) Notwithstanding other provisions of this amendment, every person, in any of the following categories who is absent from the place of his voting residence may vote without registration by absentee ballot in any primary, special or general election, held in his election precinct, if he is otherwise eligible to vote in that election:    (1) Members of the Armed Forces while in active service, and their spouses and dependents,    (2) Members of the Merchant Marines in the United States and their spouses and dependents,    (3) Citizens of the United States temporarily residing outside the limits of the United States and the District of Columbia, and their spouses and dependents when residing with or accompanying them.   (i) Any person whose registration status or voting eligibility is affected adversely by an administrative determination under this amendment may appeal such adverse determination within five (5) days of receipt of notice thereof to the County Board of Registration.",317
"Ohio","1851-09-01","Senators shall be elected by the electors of the respective senatorial districts; their term of office shall commence on the first day of January next after their election.",28
"Maryland","1776-11-10","And be it enacted, That if this act shall be confirmed by the General Assembly, after a new election of delegates, in the first session after such new election, agreeably to the provisions of the constitution and form of government, then, and in such case, this act and the alterations and amendments of the constitution therein contained, shall be taken and considered, and shall constitute and be valid as a part of said constitution and form of government, any thing in the said constitution and form of government to the contrary notwithstanding.",92
"Ohio","1851-09-01","The person or persons who prepare the argument or explanation, or both, for the law, section-, or item, submitted to the electors by referendum petition, or against any proposed law submitted by supplementary petition, shall be named by the general assembly, if in session, and if not in session then by the governor.",53
"New York","1894-11-06","The legislature may in its discretion authorize the election of one or more additional judges of said court.",18
"Texas","1876-02-15","The legislature shall not have the right to levy taxes or impose burdens upon the people, except to raise revenue sufficient for the economical administration of the government, in which may be included the following purposes: The payment of all interest upon the bonded debt of the State; The erection and repairs of public buildings; The benefit of the sinking-fund, which shall not be more than two per centum of the public debt; and for the payment of the present floating debt of the State, including matured bonds for the payment of which the sinking-fund is inadequate; The support of public schools, in which shall be included colleges and universities established by the State; and the maintenance and support of the Agricultural and Mechanical College of Texas; The payment of the cost of assessing and collecting the revenue, and the payment of all officers, agents, and employees of the State government, and all incidental expenses connected therewith; The support of the blind asylum, the deaf and dumb asylum, and the insane asylum, the State cemetery, and the public grounds of the State; The enforcement of quarantine regulations on the coast of Texas; The protection of the frontier.",197
"New York","1938-08-25","Judges of the court of appeals and justices of the supreme court may be removed by concurrent resolution of both houses of the legislature, if two-thirds of all the members elected to each house concur therein. b.",37
"Louisiana","1879-07-23","Said sheriffs shall appoint, each with the consent and approval of the district court which he serves, such a number of deputies as the said court may find necessary for the proper expedition of the public business, at such salaries as may be fixed by law.",46
"Maine","1819-12-06","However, the text and numbering information for this section is from the Session Laws of the State of Maine, 1967 and does not indicate that it is a section in part 2.",32
"Michigan","1909-01-01","Corporations may be formed under general laws, but shall not be created, nor shall any rights, privileges or franchises be conferred upon them, by special act of the legislature.",29
"Delaware","1897-06-10","Amend Article IV, §26 of the Delaware Constitution of 1897,as amended, by striking the word ""he"" as found therein and replacing said word with the phrase ""he or she"", and further by striking the word ""He"" as found therein and replacing said word with the phrase ""He or she"".",50
"Louisiana","1974-01-01","The legislature shall provide by law the procedures by which this right shall be exercised, the secretary of state notified of those elections which must be held, and the governor notified of the appointments which must be made to complete the membership of the boards.",45
"Washington","1889-10-01","Contested elections for such officers shall be decided by the legislature in such manner as shall be decided by law.",20
"North Carolina","1776-12-18","Article 3.0 [Last Modified: 1/1/2003]  Article          3.0 created by amendment         23  Section 1.1 0 [Last Modified: 1/1/2003]  No Section Text  Amendment 23 [1835]   Article III.",29
"Illinois","1870-08-08","But when an attempt is made to remove a county seat to a point nearer to the center of a county, then a majority vote only shall be necessary.",29
"Delaware","1897-06-10","That Article IV of the Constitution of the State of Delaware be and the same is hereby amended by striking out all of Section 21 thereof and by substituting in lieu thereof the following new Section 21:  ""Section 21.",39
"Alaska","1959-01-03","The reapportionment and redistricting shall be effective for the election of members of the legislature until the official reporting of the next decennial census.",24
"Colorado","1876-03-14","There shall, at the first election at which county officers are chosen, and annually thereafter, be elected in each precinct one justice of the eace and one constable, who shall each hold his office for the term of two years: Provided, That in precincts containing five thousand or more inhabitants, the number of justices and constables may be increased as provided by law.",63
"New Hampshire","1792-09-05","The doctrine of non-resistance against arbitrary power, and oppression, is absurd, slavish, and destructive of the good and happiness of mankind.",21
"North Dakota","1889-08-17","No law shall ever be passed by the legislative assembly granting to any person, corporation or association any privileges by reason of the occupation, cultivation or improvement of any public lands by said person, corporation or association subsequent to the survey thereof by the general government.",46
"Alabama","1875-01-01","That all the executive and judicial officers, and all other officers in this state, who shall have been elected at the election held in this state, on third day of November, eighteen hundred and seventy-four, or who may have been appointed since that time, and all members of the present general assembly, and all that may hereafter be elected members of the present general assembly, and all other officers holding office at the time of the ratification of this Constitution,      except such as hold office under any act of the general assembly, shall continue in office and exercise the duties thereof until their respective terms shall expire, as provided by the present Constitution and laws of this state.",118
"California","1879-05-07","The charter of any city or city and county may be amended by proposals therefor submitted by the legislative body of the city on its own motion or on petition signed by fifteen per cent of the registered electors, or both.",41
"Texas","1845-08-24","No person shall hold or exercise at the same time more than one civil office of emolument, except that of justice of the peace.",24
"Texas","1876-02-15","If the Senator so elected ceases to be a Senator before the election of a new Lieutenant Governor, another Senator shall be elected in the same manner to perform the duties of the Lieutenant Governor until the next general election.",40
"Hawaii","1959-08-21","Subject to the provisions of this paragraph, the legislature may provide for the manner and procedure of removal by impeachment of such officers.",23
"Minnesota","1974-11-05","His term of office shall terminate at the time he files as a candidate for an elective office of the United States or for a nonjudicial office of this state.",30
"Ohio","1851-09-01","The apportionment of this State for members of the General Assembly, shall be made every ten years, after the year one thousand eight hundred and fifty-one, in the following manner: The whole population of the State, as ascertained by the federal census, or in such other mode as the General Assembly may direct, shall be divided by the number ""one hundred,"" and the quotient shall be the ratio of representation in the House of Representatives, for ten years next succeeding such apportionment.",82
"Kansas","1859-10-04","The term of office of the justices shall be six years, except as hereinafter provided.",15
"Montana","1889-02-22","In each county there shall be elected three County Commissioners, whose term of office shall be four years; Provided, that the term of office of those elected to succeed those elected October 1, 1889, shall expire upon the first Monday in January, 1985; and, Provided further, that at the general election to be held in November, 1894, one Commissioner shall be elected for a term of two years, and two Commissioners for a term of four years.",77
"Louisiana","1974-01-01","The legislature shall make adequate annual appropriations to the State Police Commission to enable it to implement this Part efficiently and effectively.",22
"Colorado","1876-03-14","No person shall be eligible to the office of district judge unless he shall be a qualified elector of the judicial district at the time of his election or selection and shall have been licensed to practice law in this state for five years.",44
"North Dakota","1981-01-01","[Repealed] [Approved June 12, 1984; effective December 1, 1986]    Section 26.0 0 [Last Modified: 5/30/2006 8:56:09 PM]   SEC.",22
"Texas","1866-06-25","Elections for senators and representatives shall be general throughout the State, and shall be regulated by law.",17
"Delaware","1897-06-10","Section 24.00 0 [Last Modified: 1/1/2003]  No Section Text  Amendment 112 [1967]   Section 1.",16
"Arizona","1912-02-14","Public debts, as evidenced by the bonds of Arizona, its counties, municipalities, or other subdivisions, shall also be exempt from taxation.",21
"Louisiana","1974-01-01","The rights granted to deep-water port commissions or deep-water port, harbor, and terminal districts under this constitution shall not be impaired by this Section.",24
"New Jersey","1947-11-04","The Supreme Court shall make rules governing the administration and practice and procedure of the County Courts; and the Chief Justice of the Supreme Court shall be the administrative head of these courts with power to assign any Judge thereof of any county to sit temporarily in the Superior Court or to sit temporarily without the county in a County Court.",61
"Kansas","1859-10-04","The Legislature shall provide for taxing the notes and bills discounted or purchased, moneys loaned, and other property, effects or dues of every description (without deduction), of all banks now existing , or hereafter to be created, and of all bankers, so that all property employed in banking shall always bear a burden of taxation equal to that imposed upon the property of individuals.",63
"New York","1938-08-25","The power of grand juries to inquire into the wilful misconduct in office of public officers, and to find indictments or to direct the filing of information in connection with such inquiries, shall never be suspended or impaired by law.",40
"Kentucky","1891-09-28","Amendment 81 [1992]  (Repealed11/3/1992)   Section 95.0 0 [Last Modified: 1/1/2003]  SEC.",15
"Texas","1845-08-24","Each house shall judge the qualifications and elections of its own members; but contested elections shall be determined in such manner as shall be directed by law.",27
"Colorado","1876-03-14","This limitation on the number of terms shall apply to terms of office beginning on or after January 1, 1995.",20
"California","1849-11-13","These judges and inspectors shall also receive the votes for the several officers to be voted for at the said election as herein provided.",24
"Washington","1889-10-01","The legislaturemay reject any measure so proposed by initiative petition and propose a different one dealingwith the same subject, and in such event both measures shall be submitted by the secretaryof state to the people for approval or rejection at the next ensuing regular general election.",46
"Arizona","1912-02-14","Commissions on appellate and trial court appointments and terms, appointments and vacancies on such commissions  Section 36.",17
"Texas","1876-02-15","All district officers in the State of Texas and all county officers  in counties having a population of twenty thousand (20,000) or more, according to the then last preceding Federal Census, shall be compensated on a salary basis.",38
"Maryland","1851-05-13","The legislature shall consist of two distinct branches, a senate and a house of delegates, which shall be styled "" The general assembly of Maryland.""",24
"Mississippi","1890-11-01","The judges of the circuit courts and of the chancery courts shall be appointed by the governor, with the advice and consent of the senate, and shall hold their offices for the term of four years.",36
"Mississippi","1890-11-01","A record of the number of official ballots printed and furnished to each voting precinct or place of voting shall be kept and all such ballots accounted for by the officer or officers in each county charged with the printing of ballots.",42
"Pennsylvania","1776-09-28","A school or schools shall be established in each county by the legislature, for the convenient instruction of youth, with such salaries to the masters paid by the public, as may enable them to instruct youth at low prices: And all useful learning shall be dulv encouraged and promoted in one or more universities.",54
"Alabama","1901-11-28","In counties having two or more courts of record, the Legislature may provide for the consolidation of all or any such courts of record, except the Probate Court, with or without separate divisions, and a sufficient number of judges for the transaction of the business of such consolidated court.",49
"New Mexico","1911-01-01","There shall be a state mine inspector who shall be appointed by the governor, by and with the advice and consent of the senate, for a term of four years, and whose duties and salary shall be as prescribed by law.",41
"Alaska","1959-01-03","Compensation of justices and judges shall not be diminished during their terms of office, unless by general law applying to all salaried officers of the State.",26
"West Virginia","1872-12-01","All sessions of the Legislature, other than extraordinary sessions, shall continue for a period of sixty days from the date of beginning.",22
